Plan Name,Price,Features,Numeric Price
Core,$3.19,1Website100GBSSD StorageUnmeteredBandwidth~20KVisitors a monthLive Chat Support from Helpful Humans,3.19
WP Core,$3.69,1Website100GBNVMe Storage10xWP PerformanceUnmeteredBandwidth2PHP Workersper SiteLive Chat Support from Helpful Humans,3.69
Launch,$4.99,2Websites100GBNVMe StorageUnmeteredBandwidth~50KVisitors a monthLive Chat Support from Helpful Humans,4.99
Power,$4.99,10Websites200GBNVMe StorageUnmeteredBandwidth~300KVisitors a month99.99% Uptime GuaranteeLive Chat and Phone Support from Helpful Humans,4.99
WP Launch,$5.49,2Websites100GBNVMe Storage20xWP PerformanceUnmeteredBandwidth3PHP Workersper SiteAdvanced CachingWordPress MultisiteWordPressStagingToolLive Chat Support from Helpful Humans,5.49
WP Power,$5.49,10Websites200GBNVMe Storage30xWP PerformanceUnmeteredBandwidth4PHP Workersper SiteAdvanced CachingDedicatedOpcode CachePoolWordPress MultisiteWordPressStagingToolChoice of Data Center LocationIncludes US and EU LocationsLive Chat and Phone Support from Helpful Humans,5.49
VPS 4 vCPU,$9.99,4 vCPUCores8GBRAM160GBNVMe SSD5TBBandwidth2Dedicated IPsProfessional Email Free Trial,9.99
Pro,$10.99,40Websites2 vCPUCores4GBRAM300GBNVMe StorageUnmeteredBandwidth~500KVisitors a monthIncluded Agency FeaturesDedicated IP99.99% Uptime GuaranteeLive Chat and Phone Support from Helpful Humans,10.99
WP Pro,$11.49,40Websites2 vCPUCores4GBRAM300GBNVMe Storage40xWP PerformanceUnmeteredBandwidth6PHP Workersper SiteIncluded Agency FeaturesAdvanced CachingDedicatedOpcode CachePoolPro Level SupportDedicated IPWordPress MultisiteWordPressStagingToolChoice of Data Center LocationIncludes US and EU LocationsLive Chat and Phone Support from Helpful Humans,11.49
VPS 8 vCPU,$19.99,8 vCPUCores16GBRAM260GBNVMe SSDUnlimitedBandwidth3Dedicated IPsProfessional Email Free Trial,19.99
R-1000N,$19.99,"80GBSSD1000GBBandwidth25cPanelLicenses IncludedUnlimitedEmail Accounts1Dedicated IPSecurity SuiteFree SSLHack &  Malware ProtectionDDoS ProtectionAutomatic Backups AvailableMarketing ToolsWebsite BuilderEmail on Any DeviceFree Advertising CreditsCustomer Management ToolsHosting PlusPython,   Node.JS,   and GIT version control.Choice of Data Center LocationIncludes US and EU LocationsLive Chat Support from Helpful Humans; Free SSLHack &  Malware ProtectionDDoS ProtectionAutomatic Backups Available; Website BuilderEmail on Any DeviceFree Advertising CreditsCustomer Management Tools",19.99
R-2000N,$26.99,"160GBNVMe SSD2000GBBandwidth50cPanelLicenses IncludedUnlimitedEmail Accounts2Dedicated IPsSecurity SuiteFree SSLHack &  Malware ProtectionDDoS ProtectionAutomatic Backups AvailableMarketing ToolsWebsite BuilderEmail on Any DeviceFree Advertising CreditsCustomer Management ToolsHosting PlusPython,   Node.JS,   and GIT version control.Choice of Data Center LocationIncludes US and EU LocationsLive Chat and Phone Support from Helpful Humans; Free SSLHack &  Malware ProtectionDDoS ProtectionAutomatic Backups Available; Website BuilderEmail on Any DeviceFree Advertising CreditsCustomer Management Tools",26.99
VPS 12 vCPU,$31.99,12 vCPUCores24GBRAM360GBNVMe SSDUnlimitedBandwidth5Dedicated IPsProfessional Email Free Trial,31.99
Aspire,$35.00,16GBDDR3 RAM1TBSSDXeon® E3-1246 v3*4 Core / 8 Thread1Dedicated IPsChoice of Data Center LocationIncludes US and EU Locations,35.0
R-3000N,$39.99,"200GBNVMe SSDUnlimitedBandwidth80cPanelLicenses IncludedUnlimitedEmail Accounts3Dedicated IPsSecurity SuiteFree SSLHack &  Malware ProtectionDDoS ProtectionAutomatic Backups AvailableMarketing ToolsWebsite BuilderEmail on Any DeviceFree Advertising CreditsCustomer Management ToolsHosting PlusPython,   Node.JS,   and GIT version control.Choice of Data Center LocationIncludes US and EU LocationsLive Chat and Phone Support from Helpful Humans; Free SSLHack &  Malware ProtectionDDoS ProtectionAutomatic Backups Available; Website BuilderEmail on Any DeviceFree Advertising CreditsCustomer Management Tools",39.99
VPS 16 vCPU,$44.99,16 vCPUCores32GBRAM460GBNVMe SSDUnlimitedBandwidth10Dedicated IPsProfessional Email Free TrialDocker Compatible,44.99
R-4000N,$49.99,"300GBNVMe SSDUnlimitedBandwidth100cPanelLicenses IncludedUnlimitedEmail Accounts5Dedicated IPs2GBBackup StorageSecurity SuiteFree SSLHack &  Malware ProtectionDDoS ProtectionAutomatic Backups AvailableMarketing ToolsWebsite BuilderEmail on Any DeviceFree Advertising CreditsCustomer Management ToolsHosting PlusPython,   Node.JS,   and GIT version control.Choice of Data Center LocationIncludes US and EU LocationsLive Chat and Phone Support from Helpful Humans; Free SSLHack &  Malware ProtectionDDoS ProtectionAutomatic Backups Available; Website BuilderEmail on Any DeviceFree Advertising CreditsCustomer Management Tools",49.99
VPS 8 vCPU,$90.49,8 vCPUCores16GBRAM260GBNVMe SSDUnlimitedBandwidth3Dedicated IPsProfessional Email Free Trial,90.49
Essential,$99.99,32GBDDR4 RAM2TBSSDXeon® E-2134*4 Core / 8 Thread5Dedicated IPsChoice of Data Center LocationIncludes US and EU Locations,99.99
VPS 12 vCPU,$102.49,12 vCPUCores24GBRAM360GBNVMe SSDUnlimitedBandwidth5Dedicated IPsProfessional Email Free Trial,102.49
VPS 16 vCPU,$115.49,16 vCPUCores32GBRAM460GBNVMe SSDUnlimitedBandwidth10Dedicated IPsProfessional Email Free TrialDocker Compatible,115.49
Advanced,$169.99,64GBDDR4 RAM2x1TBSSDSoftware RAID-1Xeon® E-2176G*6 Core / 12 Thread10Dedicated IPsChoice of Data Center LocationIncludes US and EU Locations,169.99
Essential,$189.98,32GBDDR4 RAM2TBSSDXeon® E-2134*4 Core / 8 Thread5Dedicated IPsProfessional Email Free Trial,189.98
Elite,$219.99,128GBDDR4 RAM2x1.92TBStorageSoftware RAID-1NVMeSSDXeon® E-2388G*8 Core / 16 Thread16Dedicated IPsChoice of Data Center LocationIncludes US and EU Locations,219.99
Extreme,$249.99,128GBDDR4 RAM2x3.84TBStorageSoftware RAID-1NVMeSSDXeon® E-2388G*8 Core / 16 Thread32Dedicated IPsChoice of Data Center LocationIncludes US and EU Locations,249.99
Advanced,$259.98,64GBDDR4 RAM2x1TBSSDSoftware RAID-1Xeon® E-2176G*6 Core / 12 Thread10Dedicated IPsProfessional Email Free Trial,259.98
Elite,$309.98,128GBDDR4 RAM2x1.92TBStorageSoftware RAID-1NVMeSSDXeon® E-2388G*8 Core / 16 Thread16Dedicated IPsProfessional Email Free Trial,309.98
Extreme,$339.98,128GBDDR4 RAM2x3.84TBStorageSoftware RAID-1NVMeSSDXeon® E-2388G*8 Core / 16 Thread32Dedicated IPsProfessional Email Free Trial,339.98
